datetime,name,store,url,price_cash
2025-10-25 08:35,Dell Precision 3680 (base 32GB),Dell,https://www.dell.com/pt-br/shop/computadores-all-in-ones-e-workstations/workstation-em-torre-precision-3680/spd/precision-t3680-workstation,0.0
2025-10-26 08:35,KaBuM Infotech Aquário - 5500 + 32GB + RTX 3050,KaBuM,https://www.kabum.com.br/produto/630994/computador-pc-gamer-aquario-preto-infotech-ryzen-5-5500-32gb-ram-nvidia-rtx-3050-6gb-ssd-1tb-windows-11-pro,6447.02
2025-10-26 08:35,Dell Precision 3680 (base 32GB),Dell,https://www.dell.com/pt-br/shop/computadores-all-in-ones-e-workstations/workstation-em-torre-precision-3680/spd/precision-t3680-workstation,0.0
2025-10-27 08:37,KaBuM Infotech Aquário - 5500 + 32GB + RTX 3050,KaBuM,https://www.kabum.com.br/produto/630994/computador-pc-gamer-aquario-preto-infotech-ryzen-5-5500-32gb-ram-nvidia-rtx-3050-6gb-ssd-1tb-windows-11-pro,6447.02
2025-10-27 08:37,Dell Precision 3680 (base 32GB),Dell,https://www.dell.com/pt-br/shop/computadores-all-in-ones-e-workstations/workstation-em-torre-precision-3680/spd/precision-t3680-workstation,0.0
2025-10-28 08:36,KaBuM Infotech Aquário - 5500 + 32GB + RTX 3050,KaBuM,https://www.kabum.com.br/produto/630994/computador-pc-gamer-aquario-preto-infotech-ryzen-5-5500-32gb-ram-nvidia-rtx-3050-6gb-ssd-1tb-windows-11-pro,6447.02
2025-10-28 08:36,Dell Precision 3680 (base 32GB),Dell,https://www.dell.com/pt-br/shop/computadores-all-in-ones-e-workstations/workstation-em-torre-precision-3680/spd/precision-t3680-workstation,0.0
2025-10-29 08:36,KaBuM Infotech Aquário - 5500 + 32GB + RTX 3050,KaBuM,https://www.kabum.com.br/produto/630994/computador-pc-gamer-aquario-preto-infotech-ryzen-5-5500-32gb-ram-nvidia-rtx-3050-6gb-ssd-1tb-windows-11-pro,6447.02
2025-10-29 08:36,Dell Precision 3680 (base 32GB),Dell,https://www.dell.com/pt-br/shop/computadores-all-in-ones-e-workstations/workstation-em-torre-precision-3680/spd/precision-t3680-workstation,0.0
2025-10-30 08:36,KaBuM Infotech Aquário - 5500 + 32GB + RTX 3050,KaBuM,https://www.kabum.com.br/produto/630994/computador-pc-gamer-aquario-preto-infotech-ryzen-5-5500-32gb-ram-nvidia-rtx-3050-6gb-ssd-1tb-windows-11-pro,6447.02
2025-10-30 08:36,Dell Precision 3680 (base 32GB),Dell,https://www.dell.com/pt-br/shop/computadores-all-in-ones-e-workstations/workstation-em-torre-precision-3680/spd/precision-t3680-workstation,0.0
2025-10-31 08:36,KaBuM Infotech Aquário - 5500 + 32GB + RTX 3050,KaBuM,https://www.kabum.com.br/produto/630994/computador-pc-gamer-aquario-preto-infotech-ryzen-5-5500-32gb-ram-nvidia-rtx-3050-6gb-ssd-1tb-windows-11-pro,6447.02
2025-10-31 08:36,Dell Precision 3680 (base 32GB),Dell,https://www.dell.com/pt-br/shop/computadores-all-in-ones-e-workstations/workstation-em-torre-precision-3680/spd/precision-t3680-workstation,0.0
2025-11-01 08:35,KaBuM Infotech Aquário - 5500 + 32GB + RTX 3050,KaBuM,https://www.kabum.com.br/produto/630994/computador-pc-gamer-aquario-preto-infotech-ryzen-5-5500-32gb-ram-nvidia-rtx-3050-6gb-ssd-1tb-windows-11-pro,5544.44
2025-11-01 08:35,Dell Precision 3680 (base 32GB),Dell,https://www.dell.com/pt-br/shop/computadores-all-in-ones-e-workstations/workstation-em-torre-precision-3680/spd/precision-t3680-workstation,0.0
2025-11-02 08:35,KaBuM Infotech Aquário - 5500 + 32GB + RTX 3050,KaBuM,https://www.kabum.com.br/produto/630994/computador-pc-gamer-aquario-preto-infotech-ryzen-5-5500-32gb-ram-nvidia-rtx-3050-6gb-ssd-1tb-windows-11-pro,5544.44
2025-11-02 08:35,Dell Precision 3680 (base 32GB),Dell,https://www.dell.com/pt-br/shop/computadores-all-in-ones-e-workstations/workstation-em-torre-precision-3680/spd/precision-t3680-workstation,0.0
2025-11-03 08:35,KaBuM Infotech Aquário - 5500 + 32GB + RTX 3050,KaBuM,https://www.kabum.com.br/produto/630994/computador-pc-gamer-aquario-preto-infotech-ryzen-5-5500-32gb-ram-nvidia-rtx-3050-6gb-ssd-1tb-windows-11-pro,5544.44
2025-11-03 08:35,Dell Precision 3680 (base 32GB),Dell,https://www.dell.com/pt-br/shop/computadores-all-in-ones-e-workstations/workstation-em-torre-precision-3680/spd/precision-t3680-workstation,0.0
2025-11-04 08:38,KaBuM Infotech Aquário - 5500 + 32GB + RTX 3050,KaBuM,https://www.kabum.com.br/produto/630994/computador-pc-gamer-aquario-preto-infotech-ryzen-5-5500-32gb-ram-nvidia-rtx-3050-6gb-ssd-1tb-windows-11-pro,6447.02
2025-11-04 08:38,Dell Precision 3680 (base 32GB),Dell,https://www.dell.com/pt-br/shop/computadores-all-in-ones-e-workstations/workstation-em-torre-precision-3680/spd/precision-t3680-workstation,0.0
2025-11-05 08:37,KaBuM Infotech Aquário - 5500 + 32GB + RTX 3050,KaBuM,https://www.kabum.com.br/produto/630994/computador-pc-gamer-aquario-preto-infotech-ryzen-5-5500-32gb-ram-nvidia-rtx-3050-6gb-ssd-1tb-windows-11-pro,6447.02
2025-11-05 08:37,Dell Precision 3680 (base 32GB),Dell,https://www.dell.com/pt-br/shop/computadores-all-in-ones-e-workstations/workstation-em-torre-precision-3680/spd/precision-t3680-workstation,0.0
2025-11-06 08:37,KaBuM Infotech Aquário - 5500 + 32GB + RTX 3050,KaBuM,https://www.kabum.com.br/produto/630994/computador-pc-gamer-aquario-preto-infotech-ryzen-5-5500-32gb-ram-nvidia-rtx-3050-6gb-ssd-1tb-windows-11-pro,6447.02
2025-11-06 08:37,Dell Precision 3680 (base 32GB),Dell,https://www.dell.com/pt-br/shop/computadores-all-in-ones-e-workstations/workstation-em-torre-precision-3680/spd/precision-t3680-workstation,0.0
2025-11-07 08:36,KaBuM Infotech Aquário - 5500 + 32GB + RTX 3050,KaBuM,https://www.kabum.com.br/produto/630994/computador-pc-gamer-aquario-preto-infotech-ryzen-5-5500-32gb-ram-nvidia-rtx-3050-6gb-ssd-1tb-windows-11-pro,6447.02
2025-11-07 08:36,Dell Precision 3680 (base 32GB),Dell,https://www.dell.com/pt-br/shop/computadores-all-in-ones-e-workstations/workstation-em-torre-precision-3680/spd/precision-t3680-workstation,0.0
2025-11-08 08:35,KaBuM Infotech Aquário - 5500 + 32GB + RTX 3050,KaBuM,https://www.kabum.com.br/produto/630994/computador-pc-gamer-aquario-preto-infotech-ryzen-5-5500-32gb-ram-nvidia-rtx-3050-6gb-ssd-1tb-windows-11-pro,5206.66
2025-11-08 08:35,Dell Precision 3680 (base 32GB),Dell,https://www.dell.com/pt-br/shop/computadores-all-in-ones-e-workstations/workstation-em-torre-precision-3680/spd/precision-t3680-workstation,0.0
2025-11-09 08:35,KaBuM Infotech Aquário - 5500 + 32GB + RTX 3050,KaBuM,https://www.kabum.com.br/produto/630994/computador-pc-gamer-aquario-preto-infotech-ryzen-5-5500-32gb-ram-nvidia-rtx-3050-6gb-ssd-1tb-windows-11-pro,5206.66
